Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
174.8,0.44772,2.024638519
175,0.49359,2.235228729
175.2,0.3926,1.780408628
175.4,0.59463,2.700406052
175.6,0.69976,3.182316139
175.8,0.41627,1.895746955
176,0.5425,2.474088
176.2,0.54099,2.47066515
176.4,0.42037,1.922492829
176.6,0.19743,0.904177376
176.8,0.096755,0.443731751
177,0.0030164,0.013852933
177.2,0.16732,0.769494498
177.4,0.35493,1.634573147
177.6,0.4911,2.264825326
177.8,0.56763,2.621394547
178,0.47619,2.202159364
178.2,0.48956,2.267122444
178.4,0.48606,2.25402469
178.6,0.7031,3.26501202
178.8,0.27473,1.27753216
179,0.23844,1.110304528
179.2,0.22984,1.071729121
179.4,0.28553,1.333235188
179.6,0.5268,2.463176766
179.8,0.4815,2.2544473
180,0.91528,4.291320474
180.2,0.36829,1.729096708
180.4,0.64304,3.023144687
180.6,0.49024,2.307918587
180.8,0.022278,0.105021436
181,0.068737,0.324475237
181.2,0,0
181.4,0.0064343,0.030455689
181.6,0.17792,0.843293608
181.8,0.33499,1.589908145
182,0.25569,1.215176405
182.2,0.7437,3.539223641
182.4,0.72763,3.467406115
182.6,0.039477,0.188374191
182.8,0.65391,3.124479207
183,0.39789,1.903725595
183.2,0.4045,1.937942032
183.4,0.48113,2.308154611
183.6,0.78404,3.766345502
183.8,0.87057,4.187592292
184,0.81051,3.903885874
184.2,0.42066,2.028837584
184.4,0.27586,1.332236771
184.6,0.25537,1.234919013
184.8,0.75765,3.668702065
185,0.57282,2.777387709
185.2,0.5972,2.89942556
185.4,0.42382,2.060377273
185.6,0.43484,2.11673868
185.8,0.96899,4.72311836
186,0.87425,4.266937421
186.2,0.81654,3.9905111
186.4,0.34153,1.671281764
186.6,0.33852,1.658724431
186.8,0.56404,2.767376477
187,0.29285,1.438703647
187.2,0.42932,2.111904829
187.4,0.19969,0.983594103
187.6,0.19173,0.945617094
187.8,0.36733,1.814038726
188,0.33739,1.66834763
188.2,0.53519,2.649877499
188.4,0.45811,2.271173572
188.6,0.58298,2.893984773
188.8,0.74036,3.679991822
189,0.52043,2.590161502
189.2,0.5683,2.832057633
189.4,0.43547,2.172910723
189.6,0.49545,2.475380634
189.8,0.67671,3.385342181
190,0.31344,1.57004294
190.2,0.51332,2.574552458
190.4,0.25727,1.291987978
190.6,0.77684,3.906213658
190.8,0.5485,2.761566213
191,0.43051,2.170280237
191.2,0.63588,3.209673178
191.4,0.33083,1.672025684
191.6,0.55035,2.785022972
191.8,0.50688,2.568301829
192,0.30189,1.531581367
192.2,1.09E-07,5.55E-07
192.4,0.36159,1.839105714
192.6,0.39683,2.020892819
192.8,0.58951,3.005922795
193,0.34832,1.778329702
193.2,0.20316,1.038529092
193.4,0.2533,1.296467442
193.6,0.3327,1.705000701
193.8,0.73679,3.780595358
194,0,0
194.2,0.35646,1.833643259
194.4,0.1206,0.621146746
194.6,0.28982,1.494574307
194.8,0.30096,1.553959102
195,0.20704,1.070350727
195.2,0.30814,1.594998834
195.4,0.28526,1.478403612
195.6,0.33377,1.731963306
195.8,0.43721,2.271538672
196,0.56939,2.96195159
196.2,0.34944,1.820028652
196.4,0.69826,3.641326976
196.6,0.31874,1.664237909
